acousticness_very_high|danceability_very_low|instrumentalness_high|loudness_very_low → energy_very_low|valence_very_low (supp=0.034, conf=0.77, lift=7.30, lev=0.0294)
acousticness_very_high|liveness_low|loudness_very_low|valence_very_low → energy_very_low|instrumentalness_high (supp=0.021, conf=0.66, lift=7.28, lev=0.0181)
energy_very_low|instrumentalness_high|valence_very_low → danceability_very_low|loudness_very_low (supp=0.040, conf=0.70, lift=7.28, lev=0.0343)
acousticness_very_high|instrumentalness_high|mode_1|valence_very_low → danceability_very_low|energy_very_low (supp=0.023, conf=0.72, lift=7.28, lev=0.0195)
acousticness_very_high|danceability_very_low|instrumentalness_high|mode_1 → loudness_very_low|valence_very_low (supp=0.023, conf=0.75, lift=7.27, lev=0.0199)
energy_very_low|speechiness_low|valence_very_low → acousticness_very_high|danceability_very_low (supp=0.028, conf=0.68, lift=7.27, lev=0.0242)
danceability_very_low|instrumentalness_high|loudness_very_low|tempo_very_low → energy_very_low|valence_very_low (supp=0.022, conf=0.76, lift=7.26, lev=0.0193)
acousticness_very_high|tempo_very_low|valence_very_low → danceability_very_low|loudness_very_low (supp=0.029, conf=0.69, lift=7.25, lev=0.0251)
acousticness_very_high|danceability_very_low|loudness_very_low|valence_very_low → energy_very_low|instrumentalness_high (supp=0.034, conf=0.66, lift=7.25, lev=0.0294)
acousticness_very_high|instrumentalness_high|loudness_very_low|speechiness_low → danceability_very_low|energy_very_low (supp=0.024, conf=0.72, lift=7.25, lev=0.0203)
acousticness_very_high|danceability_very_low|loudness_very_low|mode_1|valence_very_low → energy_very_low|instrumentalness_high (supp=0.022, conf=0.66, lift=7.21, lev=0.0191)
acousticness_very_high|danceability_very_low|instrumentalness_high|loudness_very_low|mode_1 → energy_very_low|valence_very_low (supp=0.022, conf=0.75, lift=7.19, lev=0.0191)
loudness_very_low|mode_1|tempo_very_low|valence_very_low → danceability_very_low|energy_very_low (supp=0.021, conf=0.71, lift=7.18, lev=0.0182)
acousticness_very_high|instrumentalness_high|speechiness_low → danceability_very_low|loudness_very_low (supp=0.024, conf=0.69, lift=7.18, lev=0.0208)
energy_very_low|instrumentalness_high|loudness_very_low|speechiness_low → acousticness_very_high|valence_very_low (supp=0.023, conf=0.63, lift=7.18, lev=0.0197)
energy_very_low|instrumentalness_high|loudness_very_low|tempo_very_low → acousticness_very_high|valence_very_low (supp=0.023, conf=0.63, lift=7.17, lev=0.0199)
acousticness_very_high|danceability_very_low|liveness_low → energy_very_low|loudness_very_low|valence_very_low (supp=0.022, conf=0.60, lift=7.17, lev=0.0186)
instrumentalness_high|loudness_very_low|tempo_very_low|valence_very_low → acousticness_very_high|danceability_very_low (supp=0.021, conf=0.67, lift=7.17, lev=0.0177)
acousticness_very_high|danceability_very_low|loudness_very_low|speechiness_low → energy_very_low|valence_very_low (supp=0.027, conf=0.75, lift=7.17, lev=0.0230)
danceability_very_low|liveness_low|loudness_very_low → acousticness_very_high|valence_very_low (supp=0.022, conf=0.63, lift=7.15, lev=0.0191)
acousticness_very_high|loudness_very_low|tempo_very_low|valence_very_low → energy_very_low|instrumentalness_high (supp=0.023, conf=0.65, lift=7.13, lev=0.0199)
instrumentalness_high|loudness_very_low|speechiness_low|valence_very_low → danceability_very_low|energy_very_low (supp=0.022, conf=0.71, lift=7.12, lev=0.0189)
danceability_very_low|loudness_very_low|tempo_very_low → acousticness_very_high|valence_very_low (supp=0.029, conf=0.62, lift=7.12, lev=0.0250)
energy_very_low|instrumentalness_high|speechiness_low → danceability_very_low|loudness_very_low (supp=0.026, conf=0.68, lift=7.11, lev=0.0224)
danceability_very_low|instrumentalness_high|loudness_very_low → acousticness_very_high|valence_very_low (supp=0.036, conf=0.62, lift=7.11, lev=0.0309)
danceability_very_low|energy_very_low|tempo_very_low → acousticness_very_high|valence_very_low (supp=0.031, conf=0.62, lift=7.10, lev=0.0262)
acousticness_very_high|danceability_very_low|instrumentalness_high → energy_very_low|valence_very_low (supp=0.035, conf=0.75, lift=7.10, lev=0.0298)
acousticness_very_high|instrumentalness_high|valence_very_low → danceability_very_low|energy_very_low (supp=0.035, conf=0.70, lift=7.08, lev=0.0297)
loudness_very_low|tempo_very_low|valence_very_low → danceability_very_low|energy_very_low (supp=0.032, conf=0.70, lift=7.07, lev=0.0273)
acousticness_very_high|instrumentalness_high|loudness_very_low|tempo_very_low → danceability_very_low|energy_very_low (supp=0.023, conf=0.70, lift=7.07, lev=0.0198)
acousticness_very_high|speechiness_low|valence_very_low → energy_very_low|instrumentalness_high (supp=0.023, conf=0.64, lift=7.06, lev=0.0199)
danceability_very_low|instrumentalness_high|loudness_very_low|mode_1 → acousticness_very_high|valence_very_low (supp=0.023, conf=0.62, lift=7.05, lev=0.0198)
loudness_very_low|speechiness_low|valence_very_low → danceability_very_low|energy_very_low (supp=0.030, conf=0.70, lift=7.04, lev=0.0254)
acousticness_very_high|danceability_very_low|instrumentalness_high|mode_1 → energy_very_low|valence_very_low (supp=0.023, conf=0.74, lift=7.03, lev=0.0194)
danceability_very_low|energy_very_low|loudness_very_low → acousticness_very_high|valence_very_low (supp=0.049, conf=0.62, lift=7.01, lev=0.0421)
energy_very_low|tempo_very_low|valence_very_low → danceability_very_low|loudness_very_low (supp=0.032, conf=0.67, lift=7.01, lev=0.0272)
danceability_very_low|energy_very_low|mode_1|tempo_very_low → acousticness_very_high|valence_very_low (supp=0.021, conf=0.61, lift=7.01, lev=0.0178)
acousticness_very_high|danceability_very_low|loudness_very_low|tempo_very_low → energy_very_low|valence_very_low (supp=0.028, conf=0.74, lift=7.00, lev=0.0238)
energy_very_low|mode_1|tempo_very_low|valence_very_low → danceability_very_low|loudness_very_low (supp=0.021, conf=0.67, lift=6.98, lev=0.0181)
