antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str,simple_rule
"frozenset({'loudness_very_low', 'danceability_very_low'})","frozenset({'energy_very_low', 'acousticness_very_high'})",0.0957007151499179,0.1766671857592927,0.0679691898561314,0.7102265615220928,4.020138536025413,1.0,0.0510620138354437,2.8412984246086435,0.830756328072642,0.3325323800035163,0.6480482333925418,0.5474783472107345,danceability_very_low|loudness_very_low,acousticness_very_high|energy_very_low,"danceability_very_low|loudness_very_low  →  acousticness_very_high|energy_very_low (conf=0.71, lift=4.02)"
"frozenset({'energy_very_low', 'valence_very_low', 'instrumentalness_high'})",frozenset({'loudness_very_low'}),0.0569963703446375,0.2500029947651505,0.0537979611638855,0.9438839848675914,3.775490712638316,1.0,0.0395486978869825,13.365115171937871,0.7795662122804231,0.2124710223778208,0.9251783477257528,0.5795366258789323,energy_very_low|instrumentalness_high|valence_very_low,loudness_very_low,"energy_very_low|instrumentalness_high|valence_very_low  →  loudness_very_low (conf=0.94, lift=3.78)"
"frozenset({'loudness_very_low', 'acousticness_very_high', 'speechiness_low'})",frozenset({'energy_very_low'}),0.0554031552845625,0.2505061153104373,0.0523724529522394,0.9452972972972974,3.773549783907856,1.0,0.0384936237459627,13.7012222003527,0.7781071233340753,0.2065674462556106,0.9270138104924494,0.5771819309745859,acousticness_very_high|loudness_very_low|speechiness_low,energy_very_low,"acousticness_very_high|loudness_very_low|speechiness_low  →  energy_very_low (conf=0.95, lift=3.77)"
"frozenset({'liveness_low', 'loudness_very_low', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.0603145701314103,0.2505061153104373,0.0569963703446375,0.9449851042701092,3.772303534782156,1.0,0.041887201684399,13.623471875133372,0.7820808557892797,0.2245504743027042,0.9265972720342104,0.5862549851878472,acousticness_very_high|liveness_low|loudness_very_low,energy_very_low,"acousticness_very_high|liveness_low|loudness_very_low  →  energy_very_low (conf=0.94, lift=3.77)"
"frozenset({'energy_very_low', 'acousticness_very_high', 'instrumentalness_high'})",frozenset({'loudness_very_low'}),0.0701254207645036,0.2500029947651505,0.066112435462811,0.942774171506662,3.771051512372048,1.0,0.0485808702625188,13.105917816850171,0.7902377259760528,0.260268804527234,0.9236985906691472,0.603610372768185,acousticness_very_high|energy_very_low|instrumentalness_high,loudness_very_low,"acousticness_very_high|energy_very_low|instrumentalness_high  →  loudness_very_low (conf=0.94, lift=3.77)"
"frozenset({'loudness_very_low', 'valence_very_low', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.0716467614609662,0.2505061153104373,0.0672624252806095,0.9388062196957032,3.747637931043305,1.0,0.0493144733924492,12.247876842426988,0.7897481558539402,0.2638875834194943,0.918353195997532,0.6036561702916159,acousticness_very_high|loudness_very_low|valence_very_low,energy_very_low,"acousticness_very_high|loudness_very_low|valence_very_low  →  energy_very_low (conf=0.94, lift=3.75)"
"frozenset({'loudness_very_low', 'danceability_very_low', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.072497274763713,0.2505061153104373,0.0679691898561314,0.9375413086582948,3.742588509252381,1.0,0.0498081791844803,11.99983330725196,0.7900842017499933,0.2665100986378581,0.9166655090620582,0.60443438807054,acousticness_very_high|danceability_very_low|loudness_very_low,energy_very_low,"acousticness_very_high|danceability_very_low|loudness_very_low  →  energy_very_low (conf=0.94, lift=3.74)"
"frozenset({'acousticness_very_high', 'speechiness_low'})","frozenset({'loudness_very_low', 'energy_very_low'})",0.0792774230644832,0.1776973849710705,0.0523724529522394,0.6606225445754005,3.717682984940667,1.0,0.0382850621864355,2.422973600294504,0.7939582192509135,0.2559718969555035,0.5872839886169402,0.4776754356960864,acousticness_very_high|speechiness_low,energy_very_low|loudness_very_low,"acousticness_very_high|speechiness_low  →  energy_very_low|loudness_very_low (conf=0.66, lift=3.72)"
"frozenset({'loudness_very_low', 'instrumentalness_high', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.0715030127337414,0.2505061153104373,0.066112435462811,0.9246104875188474,3.690969724922813,1.0,0.0482004935098887,9.941619994915564,0.7852136304724072,0.258355959179852,0.8994127717101006,0.5942629713799287,acousticness_very_high|instrumentalness_high|loudness_very_low,energy_very_low,"acousticness_very_high|instrumentalness_high|loudness_very_low  →  energy_very_low (conf=0.92, lift=3.69)"
"frozenset({'danceability_very_low', 'valence_very_low', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.0594041615256531,0.2505061153104373,0.0549000347392757,0.9241782617463198,3.6892443148585032,1.0,0.0400189290022106,9.884947271743457,0.7749787415651256,0.2152856069146937,0.8988360815177493,0.571667363466886,acousticness_very_high|danceability_very_low|valence_very_low,energy_very_low,"acousticness_very_high|danceability_very_low|valence_very_low  →  energy_very_low (conf=0.92, lift=3.69)"
"frozenset({'energy_very_low', 'mode_1', 'instrumentalness_high'})",frozenset({'loudness_very_low'}),0.0572359515566789,0.2500029947651505,0.0526599504066891,0.9200502302218502,3.680156836065636,1.0,0.0383507911092863,9.380852594272543,0.7724864470460577,0.2068511198945981,0.8933998813060395,0.5653437543059419,energy_very_low|instrumentalness_high|mode_1,loudness_very_low,"energy_very_low|instrumentalness_high|mode_1  →  loudness_very_low (conf=0.92, lift=3.68)"
"frozenset({'loudness_very_low', 'valence_very_low'})","frozenset({'energy_very_low', 'acousticness_very_high'})",0.1035589789048742,0.1766671857592927,0.0672624252806095,0.6495083863504916,3.676451761876369,1.0,0.0489669519173793,2.3490799270993112,0.8120987215134116,0.3158398020024749,0.5743014154333952,0.5151189884017172,loudness_very_low|valence_very_low,acousticness_very_high|energy_very_low,"loudness_very_low|valence_very_low  →  acousticness_very_high|energy_very_low (conf=0.65, lift=3.68)"
"frozenset({'loudness_very_low', 'speechiness_low'})","frozenset({'energy_very_low', 'acousticness_very_high'})",0.0810503240335892,0.1766671857592927,0.0523724529522394,0.6461720366538575,3.657566819082409,1.0,0.0380535203003465,2.326929749854897,0.7906789829116638,0.2550460856376152,0.5702491662834437,0.4713095062574956,loudness_very_low|speechiness_low,acousticness_very_high|energy_very_low,"loudness_very_low|speechiness_low  →  acousticness_very_high|energy_very_low (conf=0.65, lift=3.66)"
"frozenset({'loudness_very_low', 'tempo_very_low'})","frozenset({'energy_very_low', 'acousticness_very_high'})",0.0879382838797781,0.1766671857592927,0.0567567891325962,0.6454161558370795,3.6532882609929183,1.0,0.041220979999054,2.321969338970816,0.7962991784230056,0.2730678347069333,0.569331091838087,0.4833400280134678,loudness_very_low|tempo_very_low,acousticness_very_high|energy_very_low,"loudness_very_low|tempo_very_low  →  acousticness_very_high|energy_very_low (conf=0.65, lift=3.65)"
