support,itemsets,support_count,itemset_str
0.1610944069766049,"frozenset({'tempo_very_low', 'mode_1'})",13448,mode_1|tempo_very_low
0.16077097234034907,"frozenset({'tempo_very_high', 'mode_1'})",13421,mode_1|tempo_very_high
0.16014806118904157,"frozenset({'liveness_very_high', 'mode_1'})",13369,liveness_very_high|mode_1
0.15966889876495885,"frozenset({'valence_low', 'mode_1'})",13329,mode_1|valence_low
0.1595011919165299,"frozenset({'instrumentalness_low', 'key_very_low'})",13315,instrumentalness_low|key_very_low
0.15924963164388647,"frozenset({'loudness_low', 'mode_1'})",13294,loudness_low|mode_1
0.15872255297739551,"frozenset({'mode_1', 'acousticness_high'})",13250,acousticness_high|mode_1
0.15855484612896656,"frozenset({'mode_1', 'duration_ms_high'})",13236,duration_ms_high|mode_1
0.15833922303812936,"frozenset({'danceability_high', 'mode_1'})",13218,danceability_high|mode_1
0.15781214437163837,"frozenset({'speechiness_low', 'mode_1'})",13174,mode_1|speechiness_low
0.1577282909474239,"frozenset({'duration_ms_low', 'mode_1'})",13167,duration_ms_low|mode_1
0.15746475161417842,"frozenset({'liveness_high', 'mode_1'})",13145,liveness_high|mode_1
0.15718923322033085,"frozenset({'energy_low', 'mode_1'})",13122,energy_low|mode_1
0.15659028019022747,"frozenset({'instrumentalness_low', 'valence_very_high'})",13072,instrumentalness_low|valence_very_high
0.15649444770541093,"frozenset({'mode_1', 'tempo_low'})",13064,mode_1|tempo_low
0.15605122246313444,"frozenset({'mode_1', 'valence_high'})",13027,mode_1|valence_high
0.15545226943303106,"frozenset({'mode_1', 'loudness_high'})",12977,loudness_high|mode_1
0.15539237413002072,"frozenset({'mode_1', 'tempo_high'})",12972,mode_1|tempo_high
0.15511685573617318,"frozenset({'valence_very_low', 'mode_1'})",12949,mode_1|valence_very_low
0.15409863558499742,"frozenset({'liveness_very_low', 'mode_1'})",12864,liveness_very_low|mode_1
0.15377520094874159,"frozenset({'loudness_very_high', 'mode_1'})",12837,loudness_very_high|mode_1
0.1528887504641886,"frozenset({'instrumentalness_medium', 'mode_1'})",12763,instrumentalness_medium|mode_1
0.15165490722217564,"frozenset({'mode_1', 'energy_very_high'})",12660,energy_very_high|mode_1
0.15158303285856323,"frozenset({'loudness_very_high', 'energy_very_high'})",12654,energy_very_high|loudness_very_high
0.15113980761628673,"frozenset({'duration_ms_very_high', 'mode_1'})",12617,duration_ms_very_high|mode_1
0.15109189137387846,"frozenset({'energy_high', 'mode_1'})",12613,energy_high|mode_1
0.15069658237401024,"frozenset({'loudness_very_low', 'acousticness_very_high'})",12580,acousticness_very_high|loudness_very_low
0.15031325243474405,"frozenset({'acousticness_very_low', 'mode_1'})",12548,acousticness_very_low|mode_1
0.1498221109500593,"frozenset({'acousticness_low', 'mode_1'})",12507,acousticness_low|mode_1
0.14971429940464068,"frozenset({'mode_1', 'speechiness_high'})",12498,mode_1|speechiness_high
0.14954659255621175,"frozenset({'instrumentalness_low', 'loudness_very_high'})",12484,instrumentalness_low|loudness_very_high
0.1493070113441704,"frozenset({'instrumentalness_low', 'duration_ms_low'})",12464,duration_ms_low|instrumentalness_low
0.14820493776878016,"frozenset({'instrumentalness_low', 'valence_high'})",12372,instrumentalness_low|valence_high
0.1479413984355347,"frozenset({'instrumentalness_low', 'energy_low'})",12350,energy_low|instrumentalness_low
0.1469471364055631,"frozenset({'acousticness_very_low', 'energy_very_high'})",12267,acousticness_very_low|energy_very_high
0.14650391116328657,"frozenset({'speechiness_very_high', 'mode_1'})",12230,mode_1|speechiness_very_high
0.14616849746642868,"frozenset({'instrumentalness_low', 'loudness_high'})",12202,instrumentalness_low|loudness_high
0.14614453934522456,"frozenset({'instrumentalness_low', 'energy_high'})",12200,energy_high|instrumentalness_low
0.14608464404221422,"frozenset({'instrumentalness_high', 'mode_1'})",12195,instrumentalness_high|mode_1
0.14573725128475426,"frozenset({'instrumentalness_low', 'speechiness_very_high'})",12166,instrumentalness_low|speechiness_very_high
0.14435965931551648,"frozenset({'danceability_very_high', 'mode_1'})",12051,danceability_very_high|mode_1
0.14415601528528132,"frozenset({'instrumentalness_low', 'acousticness_low'})",12034,acousticness_low|instrumentalness_low
0.14176020316486782,"frozenset({'instrumentalness_low', 'danceability_high'})",11834,danceability_high|instrumentalness_low
0.1400711556199763,"frozenset({'instrumentalness_low', 'liveness_very_high'})",11693,instrumentalness_low|liveness_very_high
0.1370644114088573,"frozenset({'instrumentalness_low', 'duration_ms_high'})",11442,duration_ms_high|instrumentalness_low
0.13675295583320357,"frozenset({'instrumentalness_low', 'danceability_low'})",11416,danceability_low|instrumentalness_low
0.13502797110650583,"frozenset({'instrumentalness_low', 'speechiness_very_low'})",11272,instrumentalness_low|speechiness_very_low
